1914	0
1931	0
1932	0
1933	0
1934	0
1939	0
1941	0
1942	0
1945	0
1946	0
1947	0
1948	0
1949	0
1950	0
1951	0
1952	0
1953	0
1954	0
1955	0
1956	0
1957	0
1958	0
1959	0
1960	0
1961	0
1962	0
1963	0
1964	0
1965	0
1966	0
1967	0
1968	0
1969	0
1970	0
1971	0
1972	0
1973	0
1974	0
1975	0
1976	0
1977	0
1978	0
1979	0
1980	0
1981	0
1982	0
1983	0
1984	0
1985	0
1986	0
1987	0
1988	0
1989	0
1990	0
1991	0
1992	0
1993	-35
1994	33
1995	40
1996	43
1997	43
1998	45
1999	43
2000	41
2001	47
2002	47
2003	47
2004	49
2005	47
2006	47
2007	46
2008	45
2009	44
2010	43
2011	40
2012	36
2013	35
2014	32
2015	32
2016	53
2017	100
