1914	0.00	0.00	0.00
1931	1.00	1.00	0.00
1932	1.00	1.00	0.00
1933	1.00	1.00	0.00
1934	1.00	1.00	0.00
1939	1.00	1.00	0.00
1941	1.00	1.00	0.00
1942	1.00	1.00	0.00
1945	1.00	1.00	0.00
1946	1.00	1.00	0.00
1947	1.02	1.00	0.13
1948	1.04	1.00	0.19
1949	1.00	1.00	0.00
1950	1.04	1.00	0.20
1951	1.20	1.00	0.53
1952	1.12	1.00	0.35
1953	1.20	1.00	0.62
1954	1.11	1.00	0.42
1955	1.33	1.00	0.89
1956	1.28	1.00	0.73
1957	1.24	1.00	0.60
1958	1.26	1.00	0.67
1959	1.48	1.00	1.38
1960	1.85	1.00	2.06
1961	1.86	1.00	2.05
1962	1.91	1.00	2.24
1963	2.09	1.00	2.92
1964	2.45	1.00	3.59
1965	2.61	1.00	4.37
1966	2.64	1.00	4.28
1967	2.60	1.00	4.17
1968	2.65	1.00	4.32
1969	2.52	1.00	3.79
1970	2.52	1.00	3.26
1971	2.29	1.00	3.21
1972	2.35	1.00	3.40
1973	2.41	1.00	3.68
1974	2.55	1.00	3.88
1975	2.60	1.00	4.20
1976	2.61	1.00	4.17
1977	2.64	1.00	4.32
1978	2.75	1.00	4.81
1979	3.00	2.00	5.34
1980	3.26	2.00	6.44
1981	3.64	2.00	7.42
1982	3.91	2.00	8.01
1983	4.32	2.00	8.45
1984	4.76	2.00	10.26
1985	5.29	2.00	12.21
1986	6.23	3.00	15.25
1987	7.25	3.00	18.31
1988	9.05	4.00	24.17
1989	11.42	4.00	32.13
1990	15.28	5.00	44.92
1991	19.84	7.00	55.24
1992	25.78	9.00	68.29
1993	22.74	10.00	50.85
1994	18.28	8.00	32.66
1995	18.25	8.00	31.79
1996	17.75	8.00	30.20
1997	17.42	8.00	29.20
1998	17.36	9.00	28.53
1999	18.15	10.00	29.90
2000	18.90	10.00	31.68
2001	13.43	3.00	28.66
2002	11.07	1.00	26.87
2003	10.91	1.00	27.27
2004	10.81	1.00	27.30
2005	10.79	1.00	27.88
2006	10.80	1.00	28.26
2007	10.65	1.00	28.37
2008	10.71	1.00	28.99
2009	10.85	1.00	29.16
2010	11.10	1.00	29.52
2011	11.56	1.00	29.57
2012	11.68	1.00	29.75
2013	11.99	1.00	30.30
2014	11.87	1.00	30.01
2015	11.83	1.00	29.86
2016	8.10	0.00	23.78
2017	0.00	0.00	0.00
